id	de	level	ko	note	model
anrufen	anrufen	a1	전화하다	분리동사, 4격 목적어	claude-fable-5-1
anruf	der Anruf	a1	전화, 통화		claude-fable-5-1
anrufbeantworter	der Anrufbeantworter	a1	자동 응답기		claude-fable-5-1
ansage	die Ansage	a1	안내 방송, 공지		claude-fable-5-1
anschluss	der Anschluss	a1	연결편, 접속, 연결	환승 연결편	claude-fable-5-1
an-sein	an sein	a1	켜져 있다	구어	claude-fable-5-1
antworten	antworten	a1	대답하다	사람은 3격	claude-fable-5-1
antwort	die Antwort	a1	대답, 답변		claude-fable-5-1
anzeige	die Anzeige	a1	광고, 신고	예문은 신문 광고	claude-fable-5-1
anziehen	(sich) anziehen	a1	옷을 입다, 입다	재귀동사, 분리동사	claude-fable-5-1
apartment	das Apartment	a1	아파트, 원룸	소형 주거	claude-fable-5-1
apfel	der Apfel	a1	사과	복수형 움라우트	claude-fable-5-1
appetit	der Appetit	a1	식욕	Guten Appetit 맛있게 드세요	claude-fable-5-1
arbeiten	arbeiten	a1	일하다	als+직업: ~로 일하다	claude-fable-5-1
arbeit	die Arbeit	a1	일, 노동, 직장		claude-fable-5-1
arbeitslos	arbeitslos	a1	실직한, 실업 상태의		claude-fable-5-1
arbeitsplatz	der Arbeitsplatz	a1	일자리, 직장, 작업 자리		claude-fable-5-1
arm	der Arm	a1	팔		claude-fable-5-1
arzt	der Arzt	a1	의사	여성형 Ärztin	claude-fable-5-1
auch	auch	a1	~도, 또한		claude-fable-5-1
auf	auf	a1	~위에, ~으로	3/4격, 이동은 4격	claude-fable-5-1
auf-sein	auf sein	a1	열려 있다	구어	claude-fable-5-1
aufstehen	aufstehen	a1	일어나다, 기상하다	분리동사, sein 완료	claude-fable-5-1
aufzug	der Aufzug	a1	엘리베이터, 승강기		claude-fable-5-1
auge	das Auge	a1	눈		claude-fable-5-1
aus	aus	a1	~에서, ~출신의, ~로 만든	3격 지배	claude-fable-5-1
ausflug	der Ausflug	a1	소풍, 나들이	einen Ausflug machen	claude-fable-5-1
ausfuellen	ausfüllen	a1	작성하다, 기입하다	분리동사	claude-fable-5-1
ausgang	der Ausgang	a1	출구		claude-fable-5-1
auskunft	die Auskunft	a1	안내, 정보, 안내소		claude-fable-5-1
ausland	das Ausland	a1	외국, 해외	ins Ausland: 해외로	claude-fable-5-1
auslaender	der Ausländer	a1	외국인	여성형 Ausländerin	claude-fable-5-1
auslaendisch	ausländisch	a1	외국의		claude-fable-5-1
ausmachen	ausmachen	a1	끄다, 상관없다, 약속을 정하다	분리동사	claude-fable-5-1
aussage	die Aussage	a1	진술, 발언, 문장		claude-fable-5-1
aussehen	aussehen	a1	~하게 보이다, ~처럼 보이다	분리동사	claude-fable-5-1
aus-sein	aus sein	a1	꺼져 있다, 끝나다	구어	claude-fable-5-1
aussteigen	aussteigen	a1	내리다, 하차하다	분리동사, sein 완료	claude-fable-5-1
ausweis	der Ausweis	a1	신분증		claude-fable-5-1
ausziehen	(sich) ausziehen	a1	벗다, 이사 나가다	분리동사, 이사는 sein 완료	claude-fable-5-1
auto	das Auto	a1	자동차		claude-fable-5-1
autobahn	die Autobahn	a1	고속도로		claude-fable-5-1
automat	der Automat	a1	자동판매기, 자동 기계	N-변화 명사	claude-fable-5-1
automatisch	automatisch	a1	자동의, 자동으로		claude-fable-5-1
baby	das Baby	a1	아기		claude-fable-5-1
baeckerei	die Bäckerei	a1	빵집, 제과점		claude-fable-5-1
bad	das Bad	a1	욕실, 목욕		claude-fable-5-1
baden	baden	a1	목욕하다, 물놀이하다, 수영하다		claude-fable-5-1
bahn	die Bahn	a1	철도, 기차, 전철		claude-fable-5-1
bahnhof	der Bahnhof	a1	기차역		claude-fable-5-1
bahnsteig	der Bahnsteig	a1	승강장, 플랫폼		claude-fable-5-1
bald	bald	a1	곧, 머지않아		claude-fable-5-1
balkon	der Balkon	a1	발코니		claude-fable-5-1
banane	die Banane	a1	바나나		claude-fable-5-1
bank	die Bank	a1	은행, 벤치	뜻에 따라 복수형 다름	claude-fable-5-1
bar	bar	a1	현금으로	bar zahlen 현금 결제	claude-fable-5-1
bauch	der Bauch	a1	배, 복부		claude-fable-5-1
baum	der Baum	a1	나무		claude-fable-5-1
beamte	der Beamte	a1	공무원	형용사 변화, 여성 Beamtin	claude-fable-5-1
bedeuten	bedeuten	a1	의미하다, 뜻하다		claude-fable-5-1
beginnen	beginnen	a1	시작하다, 시작되다	hat begonnen	claude-fable-5-1
bei	bei	a1	~근처에, ~집에서, ~에서	3격 지배	claude-fable-5-1
beide	beide	a1	둘 다, 양쪽의		claude-fable-5-1
bein	das Bein	a1	다리		claude-fable-5-1
beispiel	das Beispiel	a1	예, 보기	zum Beispiel=예를 들면	claude-fable-5-1
zum-beispiel	zum Beispiel/z. B.	a1	예를 들면, 예컨대	약어 z. B.	claude-fable-5-1
bekannt	bekannt	a1	유명한, 알려진, 아는		claude-fable-5-1
der	der/die Bekannte	a1	아는 사람, 그, 그것	관사·관계대명사 예문 섞임	claude-fable-5-1
bekommen	bekommen	a1	받다, 얻다, 구하다	완료: hat bekommen	claude-fable-5-1
benutzen	benutzen	a1	사용하다, 이용하다		claude-fable-5-1
beruf	der Beruf	a1	직업	von Beruf 직업이 ~인	claude-fable-5-1
besetzt	besetzt	a1	사용 중인, 통화 중인, 차 있는		claude-fable-5-1
besichtigen	besichtigen	a1	관람하다, 견학하다, 구경하다	비분리동사	claude-fable-5-1
besser	besser	a1	더 좋은, 더 나은	gut의 비교급	claude-fable-5-1
best	best-	a1	가장 좋은, 최고의	gut의 최상급, am besten	claude-fable-5-1
bestellen	bestellen	a1	주문하다		claude-fable-5-1
besuchen	besuchen	a1	방문하다, 찾아가다	4격 목적어	claude-fable-5-1
bett	das Bett	a1	침대		claude-fable-5-1
bezahlen	bezahlen	a1	지불하다, 값을 치르다		claude-fable-5-1
bier	das Bier	a1	맥주		claude-fable-5-1
bild	das Bild	a1	그림, 사진		claude-fable-5-1
billig	billig	a1	싼, 저렴한		claude-fable-5-1
birne	die Birne	a1	배	구어: 전구	claude-fable-5-1
bis	bis	a1	~까지	4격 지배, 보통 관사 없이 씀	claude-fable-5-1
bisschen	bisschen	a1	조금, 약간	ein bisschen 형태로 씀	claude-fable-5-1
bitte	bitte	a1	제발, 부디, 천만에요	Bitte schön=여기 있어요	claude-fable-5-1
bitte-2	die Bitte	a1	부탁, 요청		claude-fable-5-1
bitten	bitten	a1	부탁하다, 청하다	um+4격, hat gebeten	claude-fable-5-1
bitter	bitter	a1	쓴, 씁쓸한		claude-fable-5-1
bleiben	bleiben	a1	머무르다, 남다	ist geblieben	claude-fable-5-1
bleistift	der Bleistift	a1	연필		claude-fable-5-1
blick	der Blick	a1	전망, 시선, 눈길		claude-fable-5-1
blume	die Blume	a1	꽃		claude-fable-5-1
bogen	der Bogen	a1	용지, 시트, 활	Antwortbogen=답안지	claude-fable-5-1
boese	böse	a1	화난, 나쁜, 악한	böse auf+4격: ~에게 화난	claude-fable-5-1
brauchen	brauchen	a1	필요하다, 필요로 하다	4격 목적어	claude-fable-5-1
breit	breit	a1	넓은, 폭이 ~인		claude-fable-5-1
brief	der Brief	a1	편지		claude-fable-5-1
briefmarke	die Briefmarke	a1	우표		claude-fable-5-1
bringen	bringen	a1	가져오다, 데려가다, 가져다주다	불규칙(hat gebracht)	claude-fable-5-1
brot	das Brot	a1	빵	복수 Brote = 샌드위치 뜻도	claude-fable-5-1
broetchen	das Brötchen	a1	롤빵, 작은 빵		claude-fable-5-1
bruder	der Bruder	a1	형, 오빠, 남동생		claude-fable-5-1
buch	das Buch	a1	책		claude-fable-5-1
buchstabe	der Buchstabe	a1	글자, 문자	n-변화: den Buchstaben	claude-fable-5-1
buchstabieren	buchstabieren	a1	철자를 말하다, 스펠링하다	-ieren 동사: ge- 없음	claude-fable-5-1
bus	der Bus	a1	버스		claude-fable-5-1
butter	die Butter	a1	버터		claude-fable-5-1
cafe	das Café	a1	카페, 커피숍		claude-fable-5-1
cd	die CD	a1	CD		claude-fable-5-1
chef	der Chef	a1	상사, 사장, 우두머리	여성형 Chefin; '요리사' 아님	claude-fable-5-1
circa	circa/ca.	a1	약, 대략	약어 ca.	claude-fable-5-1
computer	der Computer	a1	컴퓨터		claude-fable-5-1
da	da	a1	저기, 거기, 여기에	da sein: 와 있다, 있다	claude-fable-5-1
dame	die Dame	a1	부인, 숙녀, 여성	Damen(복수)=여자 화장실 표시	claude-fable-5-1
daneben	daneben	a1	그 옆에, 그 곁에	da+neben	claude-fable-5-1
danken	danken	a1	감사하다, 고마워하다	3격 목적어(jm. danken)	claude-fable-5-1
dank	der Dank	a1	감사, 사례	Vielen Dank! 고정 표현	claude-fable-5-1
danke	danke	a1	고마워, 감사합니다	gleichfalls: 저도요	claude-fable-5-1
dann	dann	a1	그러면, 그다음에, 그때		claude-fable-5-1
datum	das Datum	a1	날짜, 일자	복수 Daten=데이터·자료	claude-fable-5-1
dauern	dauern	a1	걸리다, 지속되다	Wie lange dauert…?	claude-fable-5-1
dein	dein-	a1	너의	소유관사; 단독형 deins	claude-fable-5-1
denn	denn	a1	왜냐하면, 그런데, 도대체	접속사(어순 불변)·의문 강조	claude-fable-5-1
dich	dich	a1	너를	du의 4격; 재귀로도 씀	claude-fable-5-1
dies	dies-	a1	이, 이것	정관사처럼 어미 변화	claude-fable-5-1
dir	dir	a1	너에게	du의 3격	claude-fable-5-1
disco	die Disco	a1	디스코텍, 클럽	Disko로도 씀	claude-fable-5-1
doktor	der Doktor	a1	의사, 박사	구어로 의사; 약어 Dr.	claude-fable-5-1
doppelzimmer	das Doppelzimmer	a1	2인실, 더블룸	↔ Einzelzimmer(1인실)	claude-fable-5-1
dorf	das Dorf	a1	마을, 시골		claude-fable-5-1
dort	dort	a1	거기, 저기	-hin 그리로, -her 거기서	claude-fable-5-1
draussen	draußen	a1	밖에, 바깥에	↔ drinnen	claude-fable-5-1
drucken	drucken	a1	인쇄하다, 프린트하다	drücken(누르다)과 구별	claude-fable-5-1
drucker	der Drucker	a1	프린터, 인쇄기		claude-fable-5-1
druecken	drücken	a1	누르다, 밀다, 꼭 끼다	drucken(인쇄하다)과 구별	claude-fable-5-1
durch	durch	a1	~을 통해, ~을 지나	전치사, 4격 지배	claude-fable-5-1
durchsage	die Durchsage	a1	안내 방송, 공지		claude-fable-5-1
duerfen	dürfen	a1	~해도 된다, ~할 수 있다	화법조동사; 부정형은 금지	claude-fable-5-1
durst	der Durst	a1	갈증, 목마름	Durst haben: 목이 마르다	claude-fable-5-1
duschen	(sich) duschen	a1	샤워하다	sich 있어도 없어도 됨	claude-fable-5-1
dusche	die Dusche	a1	샤워, 샤워기, 샤워실		claude-fable-5-1
ecke	die Ecke	a1	모퉁이, 구석, 모서리	이동은 in die Ecke(4격)	claude-fable-5-1
ehefrau	die Ehefrau	a1	아내, 부인	↔ Ehemann	claude-fable-5-1
ehemann	der Ehemann	a1	남편	↔ Ehefrau	claude-fable-5-1
ei	das Ei	a1	달걀, 알	복수 Eier	claude-fable-5-1
eilig	eilig	a1	급한, 바쁜	es eilig haben: 서두르다	claude-fable-5-1
ein	ein-	a1	하나, 한 사람, 어떤 사람	단독 사용 시 einer/eins	claude-fable-5-1
einfach	einfach	a1	간단한, 쉬운, 편도의	표 살 때 '편도'; 부사 '그냥'	claude-fable-5-1
eingang	der Eingang	a1	입구, 출입구	↔ Ausgang(출구)	claude-fable-5-1
einkaufen	einkaufen	a1	쇼핑하다, 장을 보다	분리동사	claude-fable-5-1
einladen	einladen	a1	초대하다, 대접하다, 한턱내다	분리동사(불규칙); zu+3격	claude-fable-5-1
einladung	die Einladung	a1	초대		claude-fable-5-1
einmal	einmal	a1	한 번, 언젠가	noch einmal: 다시 한 번	claude-fable-5-1
einsteigen	einsteigen	a1	타다, 승차하다	분리동사, sein 완료	claude-fable-5-1
eintritt	der Eintritt	a1	입장, 입장료		claude-fable-5-1
einzelzimmer	das Einzelzimmer	a1	1인실, 싱글룸		claude-fable-5-1
eltern	die Eltern	a1	부모	복수형만 씀	claude-fable-5-1
e-mail	die E-Mail	a1	이메일		claude-fable-5-1
empfaenger	der Empfänger	a1	수신인, 수취인		claude-fable-5-1
empfehlen	empfehlen	a1	추천하다, 권하다	불규칙 empfiehlt, 사람 3격	claude-fable-5-1
enden	enden	a1	끝나다		claude-fable-5-1
ende	das Ende	a1	끝, 말	am Ende: ~끝에	claude-fable-5-1
entschuldigen	entschuldigen	a1	용서하다, 사과하다	재귀형 sich ~ = 사과하다	claude-fable-5-1
entschuldigung	die Entschuldigung	a1	사과, 용서	단독 사용: 실례합니다	claude-fable-5-1
er	er	a1	그, 그는	남성 명사도 받음	claude-fable-5-1
ergebnis	das Ergebnis	a1	결과, 성적		claude-fable-5-1
erklaeren	erklären	a1	설명하다	sich(3격) ~: 이해되다	claude-fable-5-1
erlauben	erlauben	a1	허락하다, 허가하다	사람은 3격	claude-fable-5-1
erwachsene	der Erwachsene	a1	어른, 성인	형용사 변화 명사	claude-fable-5-1
erzaehlen	erzählen	a1	이야기하다, 들려주다		claude-fable-5-1
es	es	a1	그것, 그것은	비인칭 주어로도 씀	claude-fable-5-1
essen	essen	a1	먹다, 식사하다	불규칙 isst, gegessen	claude-fable-5-1
essen-2	das Essen	a1	음식, 식사		claude-fable-5-1
euer	euer	a1	너희의	어미 앞에서 e 탈락(eure)	claude-fable-5-1
fahren	fahren	a1	타고 가다, 운전하다, 가다	불규칙 fährt, sein 완료	claude-fable-5-1
fahrer	der Fahrer	a1	운전사, 운전자	여성형 Fahrerin	claude-fable-5-1
fahrkarte	die Fahrkarte	a1	승차권, 차표		claude-fable-5-1
fahrrad	das Fahrrad	a1	자전거	복수 Fahrräder	claude-fable-5-1
falsch	falsch	a1	틀린, 잘못된		claude-fable-5-1
familie	die Familie	a1	가족		claude-fable-5-1
familienname	der Familienname	a1	성, 성씨	2격 -ns, 복수 -n	claude-fable-5-1
familienstand	der Familienstand	a1	혼인 상태, 결혼 여부	서류 항목	claude-fable-5-1
farbe	die Farbe	a1	색깔, 색, 페인트		claude-fable-5-1
fax	das Fax	a1	팩스		claude-fable-5-1
feier	Feier-	a1	축하, 축제	합성어용, Feiertag=공휴일	claude-fable-5-1
feiern	feiern	a1	축하하다, 파티하다		claude-fable-5-1
fehlen	fehlen	a1	없다, 결석하다, 부족하다	3격: ~에게 없다/부족하다	claude-fable-5-1
fehler	der Fehler	a1	실수, 잘못, 오류		claude-fable-5-1
fernsehen	fernsehen	a1	텔레비전을 보다	분리동사, sieht fern	claude-fable-5-1
fertig	fertig	a1	끝난, 준비된, 완성된	mit+3격: ~을 마치다	claude-fable-5-1
feuer	das Feuer	a1	불, 화재	예문1: 담뱃불 관용구	claude-fable-5-1
fieber	das Fieber	a1	열, 고열	Fieber haben: 열이 나다	claude-fable-5-1
film	der Film	a1	영화, 필름		claude-fable-5-1
finden	finden	a1	찾다, 발견하다, ~라고 생각하다	불규칙 fand, gefunden	claude-fable-5-1
firma	die Firma	a1	회사	복수 Firmen	claude-fable-5-1
fisch	der Fisch	a1	생선, 물고기		claude-fable-5-1
flasche	die Flasche	a1	병		claude-fable-5-1
fleisch	das Fleisch	a1	고기, 살		claude-fable-5-1
fliegen	fliegen	a1	날다, 비행기로 가다	불규칙 flog, sein 완료	claude-fable-5-1
abfliegen	abfliegen	a1	이륙하다, 비행기로 출발하다	분리동사, sein 완료	claude-fable-5-1
abflug	der Abflug	a1	이륙, 출발		claude-fable-5-1
flughafen	der Flughafen	a1	공항	복수 Flughäfen	claude-fable-5-1
flugzeug	das Flugzeug	a1	비행기		claude-fable-5-1
formular	das Formular	a1	서식, 양식, 신청서	ausfüllen: 작성하다	claude-fable-5-1
foto	das Foto	a1	사진	Foto machen: 사진 찍다	claude-fable-5-1
fragen	fragen	a1	묻다, 질문하다	묻는 사람은 4격	claude-fable-5-1
frage	die Frage	a1	질문, 문제	infrage kommen: 고려되다	claude-fable-5-1
frau	die Frau	a1	여자, 아내, ~씨	이름 앞에서 ~씨	claude-fable-5-1
frei	frei	a1	빈, 자유로운, 무료의	frei haben: 쉬다	claude-fable-5-1
freizeit	die Freizeit	a1	여가, 자유 시간		claude-fable-5-1
fremd	fremd	a1	낯선, 외국의, 타지의	fremd hier: 이곳 초행	claude-fable-5-1
freuen	(sich) freuen	a1	기뻐하다, 기대하다	재귀동사, auf+4격=기대하다	claude-fable-5-1
freund	der Freund	a1	친구, 남자친구	여성형 Freundin	claude-fable-5-1
frueher	früher	a1	예전에, 이전의, 더 이른	früh의 비교급	claude-fable-5-1
fruehstuecken	frühstücken	a1	아침을 먹다	분리 안 됨, gefrühstückt	claude-fable-5-1
fruehstueck	das Frühstück	a1	아침 식사		claude-fable-5-1
fuehrung	die Führung	a1	안내 투어, 선두, 지도	in Führung liegen=선두	claude-fable-5-1
fuer	für	a1	~을 위해, ~용의	4격 지배	claude-fable-5-1
fuss	der Fuß	a1	발	zu Fuß=걸어서	claude-fable-5-1
fussball	der Fußball	a1	축구, 축구공		claude-fable-5-1
garten	der Garten	a1	정원, 뜰	복수 Gärten	claude-fable-5-1
gast	der Gast	a1	손님	복수 Gäste	claude-fable-5-1
geben	geben	a1	주다, 있다	es gibt+4격=~이 있다	claude-fable-5-1
geboren	geboren	a1	태어난	ist/wurde geboren	claude-fable-5-1
geburtsjahr	das Geburtsjahr	a1	출생 연도		claude-fable-5-1
geburtsort	der Geburtsort	a1	출생지		claude-fable-5-1
geburtstag	der Geburtstag	a1	생일		claude-fable-5-1
gefallen	gefallen	a1	마음에 들다	동사, 3격 지배	claude-fable-5-1
gegen	gegen	a1	~에 맞서, ~에 반대하여, ~에 부딪쳐	4격 지배; 시간은 '~쯤'	claude-fable-5-1
gehen	gehen	a1	가다, 걷다, 되다	sein 완료; Wie geht's?	claude-fable-5-1
gehoeren	gehören	a1	~의 것이다, 속하다	3격 지배	claude-fable-5-1
geld	das Geld	a1	돈		claude-fable-5-1
gemuese	das Gemüse	a1	채소	보통 단수로 씀	claude-fable-5-1
gepaeck	das Gepäck	a1	짐, 수하물	단수로만 씀	claude-fable-5-1
gerade	gerade	a1	지금, 막, 곧은	geradeaus=똑바로	claude-fable-5-1
gerne	gern(e)	a1	기꺼이, 즐겨	lieber, am liebsten	claude-fable-5-1
geschaeft	das Geschäft	a1	가게, 상점, 사업		claude-fable-5-1
geschenk	das Geschenk	a1	선물		claude-fable-5-1
geschwister	die Geschwister	a1	형제자매	복수형만 씀	claude-fable-5-1
gespraech	das Gespräch	a1	대화, 면담, 통화		claude-fable-5-1
gestern	gestern	a1	어제		claude-fable-5-1
gestorben	gestorben	a1	죽은, 사망한	sterben의 과거분사	claude-fable-5-1
getraenk	das Getränk	a1	음료		claude-fable-5-1
gewicht	das Gewicht	a1	무게, 체중		claude-fable-5-1
gewinnen	gewinnen	a1	이기다, 얻다, 당첨되다	gewann, hat gewonnen	claude-fable-5-1
glas	das Glas	a1	유리잔, 유리	복수 Gläser	claude-fable-5-1
glauben	glauben	a1	믿다, 생각하다	사람 목적어는 3격	claude-fable-5-1
gleich	gleich	a1	같은, 곧, 똑같이	mir gleich=상관없어	claude-fable-5-1
gleis	das Gleis	a1	선로, 플랫폼, 승강장		claude-fable-5-1
glueck	das Glück	a1	행운, 행복	zum Glück=다행히	claude-fable-5-1
gluecklich	glücklich	a1	행복한, 운 좋은		claude-fable-5-1
glueckwunsch	der Glückwunsch	a1	축하	Herzlichen ~!=축하해요	claude-fable-5-1
grad-celsius	Grad (Celsius)	a1	도	숫자 뒤 복수도 Grad	claude-fable-5-1
gratulieren	gratulieren	a1	축하하다	3격 지배, zu+3격	claude-fable-5-1
grillen	grillen	a1	그릴에 굽다, 바비큐하다		claude-fable-5-1
gross	groß	a1	큰, 키가 큰, 넓은	größer, am größten	claude-fable-5-1
groesse	die Größe	a1	크기, 치수, 키		claude-fable-5-1
grosseltern	die Großeltern	a1	조부모	복수형만 씀	claude-fable-5-1
grossmutter	die Großmutter	a1	할머니	구어 Oma	claude-fable-5-1
grossvater	der Großvater	a1	할아버지	구어 Opa	claude-fable-5-1
gruppe	die Gruppe	a1	그룹, 단체		claude-fable-5-1
gruss	der Gruß	a1	인사, 안부	편지 맺음말은 복수 Grüße	claude-fable-5-1
gueltig	gültig	a1	유효한		claude-fable-5-1
guenstig	günstig	a1	저렴한, 유리한		claude-fable-5-1
gut	gut	a1	좋은, 잘	besser, am besten	claude-fable-5-1
haar	das Haar	a1	머리카락, 털	보통 복수 Haare	claude-fable-5-1
haben	haben	a1	가지다, 있다	완료 조동사	claude-fable-5-1
haehnchen	das Hähnchen	a1	닭고기, 통닭		claude-fable-5-1
halbpension	die Halbpension	a1	조석식 포함 숙박	Vollpension=3식	claude-fable-5-1
halle	die Halle	a1	홀, 회관, 전시관		claude-fable-5-1
hallo	hallo	a1	안녕	구어, 친한 사이	claude-fable-5-1
halten	halten	a1	정차하다, 들고 있다, 잡다	불규칙동사, 3인칭 hält	claude-fable-5-1
haltestelle	die Haltestelle	a1	정류장		claude-fable-5-1
hand	die Hand	a1	손	복수 Hände	claude-fable-5-1
handy	das Handy	a1	휴대전화, 휴대폰	영어 아닌 독일식 조어	claude-fable-5-1
haus	das Haus	a1	집, 건물	nach/zu Hause 집으로/집에	claude-fable-5-1
hausaufgabe	die Hausaufgabe	a1	숙제	주로 복수로 씀	claude-fable-5-1
hausfrau	die Hausfrau	a1	주부, 가정주부	남성형 Hausmann	claude-fable-5-1
hausmann	der Hausmann	a1	남성 전업주부	여성형 Hausfrau	claude-fable-5-1
heimat	die Heimat	a1	고향, 고국	Heimatland 고국	claude-fable-5-1
heiraten	heiraten	a1	결혼하다	4격 목적어, mit 안 씀	claude-fable-5-1
heissen	heißen	a1	~라고 불리다, 이름이 ~이다, 의미하다	불규칙동사	claude-fable-5-1
helfen	helfen	a1	돕다	3격 목적어, 불규칙	claude-fable-5-1
hell	hell	a1	밝은, 연한	반의어 dunkel	claude-fable-5-1
herd	der Herd	a1	레인지, 화덕		claude-fable-5-1
herr	der Herr	a1	~씨, 신사, 남성	n-변화: Herrn, Herren	claude-fable-5-1
herzlich	herzlich	a1	진심 어린, 다정한	예문은 축하 관용구	claude-fable-5-1
heute	heute	a1	오늘	ab heute 오늘부터	claude-fable-5-1
hier	hier	a1	여기, 여기에	전화에서 Hier ist: ~입니다	claude-fable-5-1
hilfe	die Hilfe	a1	도움, 구조	Hilfe! = 도와주세요!	claude-fable-5-1
hinten	hinten	a1	뒤에, 뒤쪽에	반의어 vorne	claude-fable-5-1
hobby	das Hobby	a1	취미	복수 Hobbys	claude-fable-5-1
hoch	hoch	a1	높은	어미 붙으면 hoh- (hohe)	claude-fable-5-1
hochzeit	die Hochzeit	a1	결혼식		claude-fable-5-1
holen	holen	a1	가져오다, 불러오다, 데려오다		claude-fable-5-1
hoeren	hören	a1	듣다, 들리다		claude-fable-5-1
hotel	das Hotel	a1	호텔	복수 Hotels	claude-fable-5-1
hund	der Hund	a1	개		claude-fable-5-1
hunger	der Hunger	a1	배고픔, 허기	Hunger haben 배고프다	claude-fable-5-1
ich	ich	a1	나, 나는		claude-fable-5-1
ihr	ihr/ihm/ihn	a1	그녀에게, 그에게, 그를	3격 ihr/ihm, 4격 ihn	claude-fable-5-1
immer	immer	a1	항상, 늘	immer noch 여전히	claude-fable-5-1
in	in	a1	~에, ~안에, ~후에	장소 3격, 이동 4격	claude-fable-5-1
information	die Information	a1	정보, 안내소		claude-fable-5-1
international	international	a1	국제적인		claude-fable-5-1
internet	das Internet	a1	인터넷	im Internet 인터넷에서	claude-fable-5-1
ja	ja	a1	네, 예	문장 중간 ja는 강조	claude-fable-5-1
jacke	die Jacke	a1	재킷, 웃옷, 점퍼		claude-fable-5-1
jed	jed-	a1	각각의, 모든	정관사형 어미 변화, 단수	claude-fable-5-1
jetzt	jetzt	a1	지금, 이제	bis jetzt 지금까지	claude-fable-5-1
job	der Job	a1	일자리, 직장, 아르바이트	복수 Jobs	claude-fable-5-1
jugendliche	der Jugendliche	a1	청소년	형용사 변화 명사	claude-fable-5-1
jung	jung	a1	젊은, 어린	비교급 jünger	claude-fable-5-1
junge	der Junge	a1	소년, 남자아이	n-변화: den Jungen	claude-fable-5-1
kaffee	der Kaffee	a1	커피		claude-fable-5-1
kaputt	kaputt	a1	고장 난, 망가진, 녹초가 된	kaputtgehen 망가지다	claude-fable-5-1
karte	die Karte	a1	카드, 엽서, 메뉴판, 표	합성어로 뜻이 갈림	claude-fable-5-1
kreditkarte	(Kredit)-Karte	a1	신용카드, 카드	mit Karte 카드로	claude-fable-5-1
kartoffel	die Kartoffel	a1	감자		claude-fable-5-1
kasse	die Kasse	a1	계산대, 금고	an der Kasse 계산대에서	claude-fable-5-1
kaufen	kaufen	a1	사다, 구입하다	einkaufen: 장보다, 쇼핑하다	claude-fable-5-1
kein	kein	a1	~이 없는, ~이 아닌	명사 부정; ein처럼 변화	claude-fable-5-1
kennen	kennen	a1	알다, 알고 있다	경험으로 앎, wissen과 구별	claude-fable-5-1
kennenlernen	kennenlernen	a1	알게 되다, 사귀다, 처음 만나다	분리동사; sich ~ 서로 만나다	claude-fable-5-1
kind	das Kind	a1	아이, 자녀	복수 Kinder	claude-fable-5-1
kindergarten	der Kindergarten	a1	유치원	복수 Kindergärten	claude-fable-5-1
kino	das Kino	a1	영화관	ins Kino 영화관에	claude-fable-5-1
kiosk	der Kiosk	a1	가판대, 매점		claude-fable-5-1
