# 사람이 봐야 할 항목. 고칠 것은 overrides.tsv 에 같은 id 로 적는다. 다시 merge 하면 여기서 사라진다.
id	de	level	ipa	ko	reasons
bankomat-karte	die Bankomat-Karte	b1		현금카드, 직불카드	no_ipa
beid	beid-	b1		둘 다, 양쪽 다	no_ipa
bekannte	der Bekannte	b1	bəˈkantə	지인, 아는 사람	article_mismatch goethe=der wikt=die
bescheid-geben	Bescheid geben	b1		알려주다, 통보하다	no_ipa
besonder	besonder-	b1		특별한	no_ipa
ein-bisschen	ein bisschen	b1		조금, 약간	no_ipa
broetli	das Brötli	b1		롤빵, 작은 빵	no_ipa
e-card	die e-card	b1		전자건강보험카드	no_ipa
entweder-oder	entweder ... oder	b1		~이든지 ~이든지	no_ipa
im-freien	im Freien	b1		야외에서, 밖에서	no_ipa
friseurin	der Friseurin	b1	fʁiˈzøːʁɪn	미용사	article_mismatch goethe=der wikt=die
sich-etwas-gefallen-lassen	sich etwas gefallen lassen	b1		참다, 감수하다	no_ipa
runterwerfen	runterwerfen	b1		아래로 던지다	no_ipa
je-desto	je … desto …	b1		~할수록 더 ~하다	no_ipa
kranke	der Kranke	b1	ˈkʁaŋkə	환자, 병자	article_mismatch goethe=der wikt=die
kriminal-die-kriminalpolizei	Kriminal- die Kriminalpolizei	b1		형사경찰, 수사경찰	no_ipa
leid-tun	leid tun	b1		유감이다, 안됐다, 미안하다	no_ipa
mobilbox	die Mobilbox	b1		음성사서함	no_ipa
poulet	das Poulet	b1		닭고기	no_ipa
x		b1		추측하다, 조언하다	no_ipa
rueebli	das Rüebli	b1		당근	no_ipa
sich-scheiden-lassen	sich scheiden lassen	b1		이혼하다	no_ipa
schuelerin-2	der Schülerin	b1	ˈʃyːləʁɪn	여학생	article_mismatch goethe=der wikt=die
schwieger	Schwieger-	b1		시-, 처-, 인척의	no_ipa
sekretaerin	der Sekretärin	b1	zekʁeˈtɛːʁɪn	여비서	article_mismatch goethe=der wikt=die
selb	selb-	b1		같은	no_ipa
serviceangestellte	der Serviceangestellte	b1		서비스 직원, 접객원	no_ipa
serviceangestellte-2	die Serviceangestellte	b1		서비스 직원, 접객원	no_ipa
so-viel	so viel/so viel wie	b1		그렇게 많이, ~만큼	no_ipa
sowohl-als-auch	sowohl … als auch	b1		~뿐만 아니라 ~도	no_ipa
spezial	Spezial-	b1		특별한, 전용의	no_ipa
studierende	der Studierende	b1	ʃtuˈdiːʁəndə	대학생, 학생(남/중성)	article_mismatch goethe=der wikt=die
tee-ziehen-lassen	Tee ziehen lassen	b1		차를 우려내다	no_ipa
tote	der Tote	b1	ˈtoːtə	사망자, 죽은 사람	article_mismatch goethe=der wikt=die
um-zu	um … zu	b1		~하기 위해	no_ipa
un	un-	b1		안~, 못~, 비~(부정의 뜻)	no_ipa
versichertenkarte	die Versichertenkarte	b1		건강보험증, 보험 카드	no_ipa
warmen-pullover	warmen Pullover	b1		따뜻한	no_ipa
weder-noch	weder … noch	b1		~도 ~도 아닌	no_ipa
